ЕРБСММЮ=Единый Реестр Ботов-СММщиков Ютуба. Список активно не ведётся. Подробнее: [1](https://t.me/YTObserver/118), [2](https://t.me/YTObserver/129), [3](https://t.me/YTObserver/138), [4](https://t.me/YTObserver/148), [5](https://t.me/YTObserver/148), [6](https://t.me/YTObserver/151)
UCLlwv6zNyhg9neqbio2PaRA=22 Sep, 2016 #1
UC9BAvIfkBVUsgMigvYDuHwg=18 Nov, 2017 #2
UCBhnGB3_3gVEYw2-2zG7Rxg=28 Nov, 2017 #2
UC82ihCegFYqpkmbyJFFEs1g=13 Dec, 2017 #2
UCaSLhLVvZZgA8wYhqDaVdpw=16 Jan, 2018 #2
UCfwuOAL4wdCQdGHCUjSfBtg=2 Aug, 2015 #2
UCA33NAZ_u2u-nExmBTs3xaQ=17 Feb, 2017 #2
UC7EHcayBuxrT-0WxCNcAp5Q=19 Jan, 2018 #2
UCavgCCLv8D-K7Hlr2jm_Hvg=11 Sep, 2017 #2
UCfc3Bkuo3Q-6WMx9f_ofMwA=19 Oct, 2017 #2
UClTBtPXwxHm7pzq2lFetSdg=25 Oct, 2017 #2
UCE59qG5aarT5aKBQlV23Swg=21 Oct, 2017 #2
UCc1xj6Aiw1r8gSenCwQY18w=1 Mar, 2014 #2
UC6T1NxX9L_6uoSKL0fXP-zg=10 Oct, 2017 #2
UCAIi-H6zc7EpqWEYkjNUGvA=16 Jun, 2017 #2
UCTgHDSiK4152SaBhxpycpSQ=20 Aug, 2017 #2
UCUwy5YMbI5CI1kCU_X2q6Yw=12 Jul, 2017 #2
UC5pq_yxEFqDDbUoccxrvD0w=28 Mar, 2017 #2
UCu3WpfwsIV0FGez--QDnaSQ=24 Jan, 2012 #2
UCNduhvQATGfLEdMnzFTB-5Q=17 Feb, 2014 #2
drynya13=12 Feb, 2011 #2
UC0AIi5O5VJjK-bgx50sTjQQ=5 Dec, 2016 #2
UCgTSI9ZRyOWIR8_ZzlcKeWw=21 Nov, 2012 #2
UCxBRjZ9LoruzLuzf8skmGdQ=4 Aug, 2017 #2
UChjY3-z0_KrXXljIy9vE9Nw=9 Sep, 2016 #2
UCm8HTNQz2KJQayF9ly9gDGA=18 Sep, 2013 #2
UCl1ygEEiYyCLGXHsTbm4UEg=12 Jun, 2017 #2
UCZBVDpcjHNJp5fZ8tJmvxNw=22 Apr, 2016 #2
UCrMI9MxTIJJpIcw0-fTvYSw=18 Oct, 2016 #2
UCbRvqQK3IvHbbHBQPvS5qNg=30 Oct, 2016 #2
UCUN2kpMMB1sI1hthARpoWSQ=11 Nov, 2017 #2
UCQt2t6oIG8Xur92rFtYIDXA=11 Nov, 2017 #2
UCMAb_daOtEgOX7ELlcIFC-w=6 Jun, 2016 #2
UCki-cSCq8akaQiKQpRzS55g=19 Oct, 2016 #2
UCFgTbFT8-ScjYUv8I7ht8bg=30 Oct, 2016 #2
UC63EttggjioeBgVJNy_pWmw=16 Jan, 2017 #2
UC_5cx3DsaX560MhjLMbPpDg=11 Nov, 2017 #2
UCJ1FcuoP__kQzOVHIoecNfg=11 Nov, 2017 #2
UCK9Wr52C7irCXEfmdR4E5Ag=7 Jul, 2015 #2
UCUk-aTSBlk7_J9IUHuWzczg=7 Oct, 2016 #2
UCLO_XGMWMFGLZ0LecsvbRbA=19 Oct, 2016 #2
UCjWEz8PJm03xs8GWRR9fiPQ=30 Oct, 2016 #2
UCdmb01EYmaNdTrB1wIHoJqA=16 Jan, 2017 #2
UCTwPjtqrX3F05vv2_489ASw=11 Nov, 2017 #2
UCR5pU2fnaE8_t-sfF8CPkCg=10 Jul, 2015 #2
UCNKKIPxLVwkxj6OQc_oOfAw=6 Jun, 2016 #2
UCOpzi9NhHSNsBRqJ5U8RNgg=20 Oct, 2016 #2
UCOm0fJ1Gx5iDXHJIJ4Dm2ZQ=30 Oct, 2016 #2
UCv7Cpwyvym_r-p11q4GDmGA=16 Jan, 2017 #2
UCFXT6UP314iM4mUSkDQhoYQ=11 Nov, 2017 #2
UCOxHU7SEbQqKGWzy51h4slw=21 Aug, 2015 #2
UCt2lGfOhqbdzLlC--9KWF7Q=4 Feb, 2017 #2
UCfPuJpVknZKuqPL-redLKGg=22 Jul, 2016 #2
UC5aWy4veF02c8Y5xVrLAJiw=18 Feb, 2017 #2
UCIXVf9PJdZgnU8LcZksYNsQ=29 Dec, 2013 #2
UCU1n5qa0oJygbjmqbfZBIhw=11 Feb, 2018 #2
UC87K_wXMUg9dXc7phuj985g=15 Aug, 2014 #2
UCEiLVw4R8Y8B9tRnofP_y_A=1 Mar, 2018 #2
UC7YFqzIprKbR7IUnGwPUkaQ=1 Feb, 2018 #2
UC8Ot5dE9x9P47IkAFFm8hEA=12 Mar, 2013 #2
UCDURt0bVPcuVEGdh7ljGfXw=12 Mar, 2013 #2
UCbKlNy8JhqoDVgbBSVuh-3Q=30 Sep, 2011 #2
UCiJftaGs11W953pSimmFalw=12 Mar, 2013 #2
KAREN3485=20 Mar, 2011 #2
UCjxMFKkY3PIp_rpXGe0JQmg=17 Dec, 2016 #2
THEARTUR600=30 Oct, 2011 #2
UCW6ZzoSPwiWfzk9rQ5yjXzw=13 Jan, 2017 #2
UCbAZCwHMvLrkPN53vOXWQwA=27 May, 2016 #2
UCDsOFctlhlD-2FLegGzldZA=19 Feb, 2018 #2
UC8RZkI8iL725lOkFGNHDtxQ=19 Feb, 2018 #2
UCSzIlyiSyXgIdUFQd_GDLgA=17 Feb, 2018 #2
UC2wVVGNjkk1JlZaM1zihv-A=12 Mar, 2013 #2
UC-SdeESVF6EKxWMrMz6JXng=26 Jun, 2017 #2
UCeI_MbDszb6N0qpO5FT63FQ=20 Jan, 2017 #2
UCBLuDV8sL5QqC1bB5Ajm5pA=30 Mar, 2017 #2
UCf32ZQtceP72Rils_VkgjCA=20 Feb, 2018 #2
UCaQUIre5YSfOsZ_ughok4TA=9 Nov, 2017 #2
UCQEg_qtlCA6xslffm0R3SRg=25 Apr, 2012 #2
UCNCuwcJA6m59guj03x6x-3A=29 Sep, 2014 #2
UCh8D-SyLaqikYBsy2w2jMTA=21 Sep, 2016 #2
UCWdTO2kwSz0ema2dRDoWY6A=21 Dec, 2016 #2
UCLG-mpXbAIifmZ4lNUkO7xQ=2 Feb, 2018 #2
UCBIYZpHfd6B5ATiJn6vdbvg=9 Sep, 2017 #2
UC62qiKPYHCbSkNuktjBlIvw=25 Feb, 2018 #2
UC-st88cG__12MIea5WcGHJw=17 Feb, 2018 #2
UCyqz2O-9ZrNig4Cpvw4Z9yg=8 Mar, 2017 #2
UCKeO4JT5TU0UrkZgHd3OANw=19 May, 2013 #2
UCzbUSriF3sOYPBcc63hmQmw=14 Aug, 2015 #2
UCnBdnThFkR1OAI8SzhC4HmA=10 Sep, 2014 #2
UCVXAB6DM_tNR101J40eGpvg=4 Feb, 2018 #2
UC2Pi4J0ShSx1Dgt08gS04KA=4 Feb, 2014 #2
UC0XRnXd-bxLa-zzcESbx0nA=22 Jul, 2016 #2
UCy6WJEusMA13IpkSVgKe8fA=16 Jan, 2017 #2
UC72UCgHPuVLe5NYxviqLf9g=11 Nov, 2013 #2
UCgShhOIwq_AkQq1CwD12mxg=27 Sep, 2013 #2
UC81yKCQpLeHvN1tX9dzVvnw=18 Feb, 2018 #2
UCNYRjV4XOjY6sfIbxVxwbtQ=3 Jul, 2013 #2
UCpX_jWRxSqzlPn7BOfG7nAw=12 Aug, 2013 #2
UCP3PBPKeTmSmQmGiokl5Gcg=5 Jan, 2018 #2
UCDgkKl_ucNaeqIp0mINJwRg=12 Apr, 2013 #2
UCg_vVAMiAaB16hF3mxDLOOw=11 Jul, 2013 #2
UCFLXb15MZxYOHTe9Lj0WdhQ=24 Feb, 2018 #2
UCpehy7XSf4AVI9vSaZzZbYw=2 Oct, 2014 #2
UCL_1BhHWNBqwZbqVXKNv3fw=24 Feb, 2018 #2
UCATUuSepV3BHKGhz8UMEYQw=27 Jun, 2014 #2
UCne1jgd3q0fAFGWqsbXtf-A=7 Oct, 2016 #2
UCYP-OtNB2j6yXN9rIFSborQ=20 Oct, 2016 #2
UCUz36pwYIv7dprnUSol_Hew=30 Oct, 2016 #2
UCEZkiJJbr1IAVablAcEaMtA=16 Jan, 2017 #2
UCB6LgTM-8EEe_tkD_oxBfEw=11 Nov, 2017 #2
UCINJi70IK1a10IYpEPrxjUg=29 Sep, 2015 #2
UCr1QroW4I-vBgG2ln4WWZ-A=12 Mar, 2013 #2
UCx3j44LtZ-Zv_RDD0A7AH7Q=17 Oct, 2016 #2
UCYi0Ax-D78fiUxA0T_3forA=8 Aug, 2016 #2
UCGViDsvZspnToJFMqvPgLVw=29 Oct, 2016 #2
UC53wJBtZA4l8PHZ65_zgitg=31 Oct, 2016 #2
UCH7YjrxjS-FM5kF-wplQM3g=3 Feb, 2018 #2
UCH570NJ_yZoNTj4eElPWSXQ=16 Jan, 2017 #2
UCi6yn6LBOd6oAq8v7Q2XPZA=12 Mar, 2013 #2
UCnpMs4CuoLfH79fKSAjz_QQ=11 Nov, 2017 #2
UCuaYosSLUz9_H_4r8aIj4TQ=29 Sep, 2015 #2
UC3Vx_OdJBr5sCWk2zqNbT6Q=17 Dec, 2015 #2
UC_MnQyQshJQ7HpOP1XLp36Q=10 Oct, 2016 #2
UCRGaB6nxQrx0N-R9ucQ7geg=17 Oct, 2016 #2
UC2TeZzLNKQoR_sb58_TRVpQ=12 Mar, 2013 #2
UCtzIBO1MvpuphHfNO0yH2Jg=31 Oct, 2016 #2
UCepkGZwW5cABCzxRLqceTSQ=20 Jan, 2018 #2
UCvgKnKp0qefJkxYSSH0X1ZA=30 Jan, 2018 #2
UC0gZ8veLVWVccLIrBxb2FcA=16 Jan, 2017 #2
UCnqn_dcBNZfYn35aH087NWQ=20 Jan, 2018 #2
UCPZ30YL19asL6ARYSkbvM2g=11 Nov, 2017 #2
UCF-hseKzIcBNu8YN7iwOPLQ=5 Jun, 2017 #2
UCj9zlTxk3CC0bzE_UHfrEsQ=5 Jun, 2017 #2
UCSgLcUiU7BUFlL41McwVl1w=5 Jun, 2017 #2
UCk4Dkd9ltje_uBrCLdabvtQ=17 Dec, 2011 #2
UC9zYkk7AF0DTgZ7PZIKC6yQ=20 Apr, 2016 #2
UCKZzjq3KOpLdP9Akcfl9OHQ=6 Jun, 2017 #2
UCSX8BY67Oye_tLFlVIEfwBQ=6 Jun, 2017 #2
UCs3vxXqH7gOqE_r65TeVbjA=11 Nov, 2017 #2
UCVIDHgcK6522ox3qctwUTmQ=6 Oct, 2012 #2
UC5gSjXQoPbDfSQqneFDIHdw=12 Mar, 2013 #2
UCK2qRk8N-R3Sq0Gvaol3Nrg=29 Mar, 2017 #2
UCtx6NGh2xL8CCigRPEiWprg=8 Jan, 2018 #2
UCN8ZU97hpRh6RMfW_Eov5TQ=8 Jan, 2018 #2
UC6h-FJcZfZtKDtcbpv3KVRg=8 Jan, 2018 #2
UC361bRC_kpgpxJRbkmGaGXg=12 Feb, 2018 #2
UCuGRuA-4x0ktK0CuAipvI-g=8 Jan, 2018 #2
UCfsH7TWIfgZ9g2ng_Y3nCeQ=12 Mar, 2013 #2
UCWTmtq-GuepxI-nU3MWqp3Q=8 Jan, 2018 #2
UCh0Zuk3AYC5a8lbBbF6wmSQ=8 Jan, 2018 #2
UCcsgNdadrxjD6uYmqGEbyxg=8 Jan, 2018 #2
UCicmXHPib6YThvYPA4gjMCQ=8 Jan, 2018 #2
UCmEdvsGP6kEs9K3RHJzNe3Q=8 Jan, 2018 #2
UCfzFjI0DaSnBUAWmunEkZEQ=8 Jan, 2018 #2
UCk6VJSc1XVpI_hqCllOghSA=8 Jan, 2018 #2
UCmbYe9wjTdbVM99efdQFlbQ=8 Jan, 2018 #2
UCPFnRkUx6Dm6HEe2BEmpFBQ=8 Jan, 2018 #2
UCO_F7Xc4M9ssH-kVdwrd8iw=8 Jan, 2018 #2
UC2fOhn2FPLdNwtAEsKf8N2A=8 Feb, 2017 #2
UCHmlSEyGB3NSP_ZDXuKPZxw=8 Oct, 2017 #2
UCTcmzs1UKik-1pl6yHMO44Q=21 Feb, 2018 #2
doktor602=13 Sep, 2011 #2
UCqHLw3qJhqJkSqJTbVnvlkg=20 Feb, 2018 #2
UCVzCn8PILuhgZln8ImhYaxw=22 May, 2013 #2
UCia6nacqjYy6fQx3DLoxzvg=18 Nov, 2014 #2
UCwlNk5Y_ufGpBUyGfOy3mpA=23 Jun, 2015 #2
vlad1766=10 May, 2011 #2
UCS9wolMkX3p5YzQkdTN5-CA=8 Aug, 2013 #2
UCKZwU542aAOgUBpxSm5Cx3Q=28 Oct, 2012 #2
UC4Qsi3YWLepDHN3vU16pIMQ=17 Dec, 2017 #2
nina29331=16 Sep, 2010 #2
UConmkwGDyh1YmJSeJo5ZNWg=11 Jun, 2018 #2
UCo6GFyWTEdVlOYmIMClhXnQ=2 Mar, 2016 #2
UC8el0Q6BOFDVEwGXFvSrbkg=18 Jun, 2018 #2
UCpEdZpXFZeo_PhAyETvFqfQ=24 Jun, 2018 #2
UCOrUZNBmWdhNp-xCStvV1Zw=8 Aug, 2016 #2
UCI4MjuQrn-GTpkOWTZBH9kA=17 Apr, 2015 #2
UCSbv2AsbG1JJk8Z0NI4D9UA=24 Nov, 2016 #2
vitakkontakt=31 Jan, 2011 #2
9177556050=27 Aug, 2012 #2
UCHL3lLneKXV8Fd29evEpG3w=16 Feb, 2016 #2
UCN7Q1L3v5swaR2BAENqJvAg=18 Sep, 2016 #2
UCDncW2Lw_mgSu9o2ikQ9b2w=31 Jan, 2017 #2
UCm0UbgJfWAZ2mH9ZrYH8GMA=23 Jan, 2017 #2
UCnJJJuXS9euVWWAfoq1UHhA=28 Jun, 2018 #2
UCuKFzonXS4Zh_utHfaZP71A=24 Mar, 2015 #2
UCqLFgQ_JeMKYqHnm0gVmHSw=31 Mar, 2018 #2
UC41hcHa_2w3QG_Pcy63H0hA=18 Apr, 2018 #2
UCgazsjoPK0Exbl0xAEgdiGg=31 Dec, 2014 #2
UCIMk6GfQs6PO0cWpfgIpwLw=11 Feb, 2018 #2
UClRKbC9YKOjvdh5WgyutF6Q=25 Feb, 2018 #2
UCbBiV0nhOxl38adNiBSWytg=7 Nov, 2013 #2
UCQtt0YWQP6zHSu78WnQiQGw=11 Feb, 2016 #2
UCAr119IaRBOkSphm12YtoCg=1 Jan, 2017 #2
UCklU-PQ6Yxbb0eYD85CWRrw=12 May, 2015 #2
UCgcUK6T6_Jo1bQ6khEPeoEQ=29 May, 2018 #2
UCEAsFe_ommbIAnNln9rZ25Q=30 Jun, 2016 #2
UCRY1z_XDHCoIHy5KsKHXcJg=4 Jun, 2015 #2
UCk4nxnb3gWB7V3y-ebndloQ=15 Mar, 2017 #2
UClso800GUyxEdM8TluqiHIA=1 May, 2012 #2
UCAG_fuGjEVt0vgNX-GkYcaQ=5 Nov, 2012 #2
UC70UDewSn2aUkqP1R7Oq1DQ=3 Jun, 2017 #2
UC2XKx3LyB7zTKxxQOWcNCxQ=9 Dec, 2017 #2
UCwSQRfpNFIj8U3D78K9VT8g=12 May, 2018 #2
UCqEQhdVD0m4Wx6BB-TUPetQ=14 Feb, 2015 #2
UC4TTXj0M6vCUmjVg-zVJWGw=15 Jun, 2015 #2
UCCNW1S3fuaoE0v3UASxak8g=10 May, 2018 #2
UC8dJHmno1PuSUhYKtj_zUTg=23 Sep, 2015 #2
UCkTQSepSRhl8T4AUKcoD_Tw=5 Jan, 2018 #2
UCkBU3ao0jg-Z39mY7OqqGWQ=24 Jan, 2018 #2
UCHMVSskcgcO9c2tuVQIiY4g=10 Jun, 2016 #2
UCQCNVc5DhO29yjgCl9biz8Q=5 Jun, 2017 #2
UCZXbxJHHEPGbamHijNfdHNw=24 Aug, 2017 #2
UCvL-Fr8uVDR7Qjr5pluDQ6g=1 Apr, 2017 #2
UC3_01_X7EwJ49j2mPUuF1iA=24 Oct, 2017 #2
UCqwl1-H3ije1EaS1f-6xYLg=21 May, 2017 #2
UCSt_4tOIYrjWxs662eGZd6g=14 Jun, 2018 #2
UCfpvpdngh85Uh-JgcHXTw4w=28 Feb, 2015 #2
UC-e9ZSqwfQny9bTbSNrvI_g=17 Aug, 2015 #2
UCBQlW-fvI8LrUuTFgX8gluw=6 Mar, 2018 #2
UCO8HivZSSHogsGNUyoU-VpQ=6 Oct, 2017 #2
UC3AHTpgl1ECykgQ4EFjYQ1A=12 Dec, 2015 #2
UC-UD0BRuGPJAAo1LRSF-IVw=24 May, 2017 #2
UC083sz4108jHlwbxh9vO70w=20 Feb, 2018 #2
UChgrvd7xOw2XTAyOfQYDWFg=24 Nov, 2017 #2
UCLk9opLIfj623jgOoOv0-WA=16 Nov, 2017 #2
UCBUd0ihhNaJCnDNcWf2Klug=6 Aug, 2013 #2
UCDTfQu3tThiLlWP57LLSF1g=23 Nov, 2017 #2
UC0S31VzVUdsJm3kp3pltluw=28 Apr, 2014 #2
UCz2iu_cwJcT7ZQV6f9PY9JA=14 Nov, 2015 #2
UCb7zrt6zAgM_RX842U4yhaw=5 Oct, 2014 #2
UCIaiNtvcV7xDFt8mLDo96rA=2 Jun, 2013 #2
UCpr0bBqry_-UakCheF_jbhA=10 May, 2018 #2
UC2lXrtVGhAZWCTvEnd3S7uQ=11 Jun, 2018 #2
UCW9KokelTHfbCUAzZd1RDKw=24 Feb, 2018 #2
UCGKppfDkdx8gVTIFazPXlPw=6 Apr, 2014 #2
UCVDPjtIaGY8QvbtR4i0jYMQ=17 Apr, 2017 #2
UC9e7q9quivpq6OVbLqLAhiw=13 Sep, 2015 #2
UCbyHw24ZgwycGk3jk78K3zg=30 Aug, 2011 #2
UC-JXuaoF-dsP9Z8g8rmibkQ=14 Apr, 2017 #2
UCrWA51-0Hs_-xO5HVbhovMg=26 Aug, 2017 #2
UCapYB5j9hhx2eYHd5TukTjQ=13 Jul, 2017 #2
UCMox8BWv6JjGGqBcEkesS9A=28 May, 2018 #2
UCD9J1v1pvonPZ1iiRcponfQ=10 Nov, 2017 #2
UC3LtoP7TYE5QJeI7VQQFMDw=31 Oct, 2017 #2
UCwQKB5e3ZvxKQQ0whA6LzTw=6 Nov, 2017 #2
PardonMua=10 Apr, 2007 #2
UCujw4B9ZfiM7tFX8lBaPHUQ=11 Aug, 2014 #2
UCBhH0FZd_1D9EskQhUY1Klw=26 Oct, 2017 #2
UCz3Cb-qZ-VcIgHawzpMMRzg=10 Jul, 2016 #2
UCZH69A3M6W0i8onaMhotXwg=30 May, 2015 #2
UCtOoeGrOg6O-AJ5A9vM16xA=27 Jun, 2018 #2
UCkH9ZHSx2wzl_iFoHuwFl7Q=19 Feb, 2016 #2
UCL2aZPLBQET7H-lPsH7Ictw=22 Jun, 2018 #2
UCDFbOVLGmoZKrrUskVrAFzA=19 Jun, 2017 #2
UCl4wmKwWCECztCElH1hPIHg=3 Dec, 2016 #2
UCeSzNBMz67_IBJMLAYW8_6A=24 Apr, 2016 #2
UC9Gdd-RVLmYpbUj6e0Z32Og=23 Feb, 2018 #2
UCrbIoV8p9AMtYqKEnZxayfA=23 Feb, 2018 #2
UCOFApWIA4x4DlsMxZVZSfRw=18 Apr, 2018 #2
UCQpbC5LHenl7ZeoIXvdzwoA=31 Dec, 2014 #2
UCMx-GuZOM4g3cw0H6dTdG-w=23 Oct, 2013 #2
UChX7tC-a_bvPwtOTzauEKlQ=22 Feb, 2018 #2
UCFLtmvo44pQkYP-xQYjbQKg=22 Feb, 2018 #2
UCPiAkCLcCVECBbGT0rXdl_w=4 Mar, 2018 #2
UC2H7O9DBfAwtoW9x9nhPfTg=12 Mar, 2013 #2
UC_YNaxDj3fo869V1-hh02Fg=24 Feb, 2018 #2
UCrINE_aoFJSij4UKRXgVyXg=13 Jan, 2017 #2
UCZiakbcXOA-71dmTRtUiYTg=1 Jun, 2015 #2
UCRbaZ7lvm18jMP4_A7mWC_g=27 Jan, 2015 #2
UCqa8_rZMojnRtXfDsraL-UQ=23 Feb, 2017 #2
UCNNmPrfUuDuQEw-j0bbkJhg=19 Jan, 2017 #2
UCX3CdB_QC0n92L_pXRg0RSQ=19 Jan, 2017 #2
UCx0s-mr1grHbgX5fOfE1NKA=19 Jan, 2017 #2
UC-LbtAvwuS_xkkXjqaN59nQ=19 Jan, 2017 #2
UCN9Q7czm0lqea4mK9kwEV8Q=25 Jun, 2018 #2
UCzys_YTVtCwuvpcF7V5SsAA=1 Sep, 2017 #2
UCgQ4F2-WSIHo-JePHVpDZNw=24 Apr, 2014 #2
UCZZz64pjCn71C1-7SVyA7GA=14 Apr, 2018 #2
UC0ohLa0Ke2inb6XvrG-eksw=9 Jul, 2014 #2
UCy7yF-yVjTr_ilGXRM7ZEDQ=22 Oct, 2014 #2
UCDdffQzeIu1XMsHqnSzqRyg=23 Feb, 2017 #2
UCk-xa56E0Vo-lHhmUNB19nw=5 Nov, 2014 #2
UC5USHVzIHWg4JhwJGutxbQw=26 Feb, 2018 #2
UCgxddTEBrFkWdfKo4CAFf4g=21 Jun, 2018 #2
bashtanenko1975=9 Jul, 2009 #2
UCs4_4rfLUVJLBtfOgRFQNsw=8 Jan, 2018 #2
UCT9Jmv7wmEsCjb5aBHYiq_w=24 Feb, 2018 #2
UCh_kkeZhJ3amGOT2Kjdir7w=25 Feb, 2018 #2
UCPoqO9nB06QfkBvjGLUcZoQ=29 Nov, 2017 #2
UCUF-nxJSEAVt9Yhq_q3fFVg=2 Jan, 2016 #2
UCtUAy81xE97IB_UlRlGziqQ=18 Feb, 2018 #2
UCl9rK3KMHnXiOjZE3ar9DVw=18 Feb, 2018 #2
UCfKgOgymQOThQtx0PDL21NQ=18 Feb, 2018 #2
UCvJjo6NlOhabNzG7cRrfeuA=18 Feb, 2018 #2
UCm9ZO1diwtQY1Snr0n-UTtQ=18 Feb, 2018 #2
UCzrZM9A4_zj9WxffLEIrMMg=18 Feb, 2018 #2
UCK0x53Y_Sxe_AHFdUoDOvoA=18 Feb, 2018 #2
UCuuAogvESWhk_3ihFX5DadQ=18 Feb, 2018 #2
UCeH1BNcPmfDYcbMvYB9Y6Tw=18 Feb, 2018 #2
UCM3OOWVcO9Ayl-zTTmKyDkA=18 Feb, 2018 #2
UCb9tlW8iq1wI4F1fyXNHFbA=18 Feb, 2018 #2
UC11TgTtI6XbdPZ9bmdBqjmg=18 Feb, 2018 #2
UCsijOIw6EjfY3P4mSY9fdOw=18 Feb, 2018 #2
UCxbkin5cS1isGzFa4rAo-4w=18 Feb, 2018 #2
UC_tGXjkbab2UgJHBAeMW0KA=18 Feb, 2018 #2
UCV-k9nWhr--V7YvQ7pHrAgw=18 Feb, 2018 #2
UCaKAshh1oRELKRyFOk_ZMSg=22 Jun, 2018 #2
UCcHbUhW4lQlqVHOXm8V084A=18 Feb, 2018 #2
UCGjLxQV-FuAvpviFU4IM3eQ=18 Feb, 2018 #2
UCVDNBvfDCMp5DETN4fVk-_g=18 Feb, 2018 #2
UC5tMKrk8VmPiwDfDWh8cPzA=18 Feb, 2018 #2
UCS8Vgs7DQr9-tpM35wUBBog=18 Feb, 2018 #2
UCqqq80vHUzkfE3nUPpFXAMg=23 Nov, 2017 #2
UCIwFTCG9Uy1jKGUeI5d_5Rw=25 Mar, 2018 #2
UCAlwYQycSnr31CrTFmLhI-Q=2 May, 2018 #2
UCymd0Ks67tKY5pN8g5_eQ0A=1 Nov, 2017 #2
UCF2gERxJGUS8GgrnunHg92g=28 Jun, 2018 #2
UCPGnxPkn3QocaQ3SH6BSWBg=Jul 9, 2012 #3
Pantera12korell=Dec 13, 2011 #3
UCZ20ns6tktAa5bHjYuK1j6w=Dec 4, 2014 #3
UCm5IVPycgN6jyt4LWsagt4Q=Apr 21, 2014 #3
UCYR-D185c9qmzCmOPmYqOwQ=Jan 18, 2018 #3
UCCaaBebi7AYvoc1VNggMYsg=Apr 2, 2018 #3
UCNk2GyvrJwaWzi1DJQvqfKQ=Nov 4, 2016 #3
UChWN9tASeaWF239qgX9DT5g=Nov 25, 2011 #3
UC1ByAOkY2NYzdc_Mq-guzbg=Oct 18, 2017 #3
UCIxQKIsEywI7-nAiC9TEqEg=Feb 20, 2016 #3
UC1dov32Z6UInOn7LJDo1l0g=Oct 23, 2014 #3
UCgbnvAanZ4EjQ1w0p65FhgQ=Jul 3, 2018 #3
UC92Afu8R6Vc9nhg2kLIIM_A=Nov 23, 2012 #3
UCGVeUs1jGzqBAcaWA4FHxFQ=Jun 14, 2018 #3
UCVrOzuNudcSjGTH-_u4FLGQ=Oct 27, 2013 #3
UCYpe0lVrXnCDIvm0Cp-WL9A=Mar 24, 2017 #3
UCErCI8SBCgQ9FjwixIMWZ7A=Apr 1, 2017 #3
UCa1EkBHYN0dACjivuE51qXg=Jul 11, 2018 #3
UCrEIz6uZEgfeFEf1K8X5p9w=Jun 28, 2018 #3
UC3SkLwX1K2OSiC7IKjSsykw=Jun 28, 2018 #3
UCFY2LYgPskozXUdtGr6G9sA=Jun 28, 2018 #3
UCmEeMuchfdiZoSsq-BPdTaw=Jun 28, 2018 #3
UCXMcRbCBIeya0JO1ENHb3-A=Jun 29, 2018 #3
UC8vizUIAQAuZif9IgbDHvUw=Jul 6, 2018 #3
UCi4gt-5V3PSVCRzztvN_nFw=May 12, 2013 #3
UC0pc9hMJeoUkuLRqh1TiKSA=Aug 21, 2016 #3
UCLMAKRMSA3xLAizPySspQ4A=Feb 2, 2018 #3
UCy7WRAROdq2kwuptJFmRG7g=Nov 4, 2012 #3
UCDMAiraWT8yN9l9Q8MQ5yeA=Nov 10, 2012 #3
UCEZ2TJ166n_0DHIGdtCb7Pg=Sep 25, 2017 #3
UCcIwLX_5w8rbeZBP3Cuj34Q=Mar 11, 2018 #3
UC6RCrR5p-xX4OQ9lM4XJr_w=Jun 28, 2018 #3
UCvIahLdC4LSkSXZyQahsCAw=Dec 29, 2013 #3
UCHd1eyhyxB1ZJ2N4pur6iqw=Aug 10, 2013 #3
UCpMbhsW0sKwJUSfIt22v16Q=Jun 28, 2018 #3
UCbHo52E3XxHoXYsdyKXJHdg=Oct 25, 2012 #3
UCxmhPl9DqPr3Mlt-CMSt8FQ=Dec 1, 2014 #3
UC0D8MWe5jz9qD2ax0sbl1nw=May 28, 2015 #3
UCVgN8dhQhxJ45SM-YqQLGfw=Mar 20, 2014 #3
UC7DWtHa42RCHamawctkGIPw=Sep 29, 2013 #3
UC-d48y53Gqsr0qfZok14W7A=Jun 28, 2018 #3
UCCpgU_lEeRsysLpOEQkq1Vg=Aug 18, 2014 #3
UCxCJojESbqBm7V-ufiSkzow=Jun 26, 2018 #3
UCE2aduD0PcQ_3xnqrM8myBg=Jun 25, 2018 #3
UCaWNYBEtmPWbWvfMoLbR4_g=Sep 24, 2011 #3
UCFS-9sZcjc1lnbtQUitgguQ=Jun 22, 2018 #3
UCB2ZSDTgjGCQDN6mQM3dixw=Sep 20, 2017 #3
UCpS3A2KTh30ZCYhWtyjW47g=Feb 20, 2017 #3
UCXWn0IqRvfvqEcmRfChF0zA=Apr 21, 2018 #3
UCq1VbzePe3EItX9z8DWq2Hg=Oct 13, 2017 #3
UCTuPdH0IOamDqFpNGsG1zEQ=Jan 1, 2012 #3
UCrtJMHaqsFR_Y_6LVXuDaPQ=Nov 25, 2016 #3
PirateGameChanel=Feb 23, 2013 #3
UC0_eAPq-Erkm1yZ40ByCXqQ=Jun 28, 2018 #3
UCavfh17GcLmtimGULcEdSTQ=Nov 14, 2016 #3
UCO_kDJgvuhh8NarOmDS0Gww=Jul 29, 2014 #3
UCy-bQ8j3PwyzReIDDfg9aNg=Feb 11, 2015 #3
UCWPY5gs0Tcr90hta_3p5U6w=Mar 14, 2012 #3
UCevcYdqPptSbnQKsBESPZdQ=Aug 23, 2013 #3
